[2026-08-13 10:04:19] [INFO] Mode-2 soak session log: cs00014-mode2-soak.log
[2026-08-13 10:04:19] [INFO] Incremental result JSON: cs00014-mode2-soak.json
[2026-08-13 10:04:19] [INFO] Booting juku-net-mode2-soak-system.bin at 9600/8O1, station 02 -> 09
[2026-08-13 10:04:37] [INFO] Janet bootstrap request accepted
[2026-08-13 10:05:58] [INFO] Janet boot complete: 6784 bytes at 0100h, entry 0100h, 334 frames sent
[2026-08-13 10:05:58] [INFO] Bootstrap complete; host switched to 19,200/8O1. Waiting for the mode-2 BIOS and serving writable A:
[2026-08-13 10:05:58] [INFO] Host UART kernel counters: available
[2026-08-13 10:05:59] [INFO] disk request op=11 seq=01 drive=0 track=2 sector=1 status=0
[2026-08-13 10:05:59] [INFO] disk request op=11 seq=02 drive=0 track=2 sector=2 status=0
[2026-08-13 10:05:59] [INFO] disk request op=11 seq=03 drive=0 track=2 sector=3 status=0
[2026-08-13 10:05:59] [INFO] disk request op=11 seq=04 drive=0 track=2 sector=4 status=0
[2026-08-13 10:05:59] [INFO] disk request op=11 seq=05 drive=0 track=2 sector=9 status=0
[2026-08-13 10:05:59] [INFO] disk request op=11 seq=06 drive=0 track=2 sector=10 status=0
[2026-08-13 10:05:59] [INFO] disk request op=11 seq=07 drive=0 track=2 sector=11 status=0
[2026-08-13 10:05:59] [INFO] disk request op=11 seq=08 drive=0 track=2 sector=12 status=0
[2026-08-13 10:05:59] [INFO] disk request op=11 seq=09 drive=0 track=2 sector=17 status=0
[2026-08-13 10:05:59] [INFO] disk request op=11 seq=0A drive=0 track=2 sector=18 status=0
[2026-08-13 10:06:00] [INFO] disk request op=11 seq=0B drive=0 track=2 sector=19 status=0
[2026-08-13 10:06:00] [INFO] disk request op=11 seq=0C drive=0 track=2 sector=20 status=0
[2026-08-13 10:06:00] [INFO] disk request op=11 seq=0D drive=0 track=2 sector=25 status=0
[2026-08-13 10:06:00] [INFO] disk request op=11 seq=0E drive=0 track=2 sector=26 status=0
[2026-08-13 10:06:00] [INFO] disk request op=11 seq=0F drive=0 track=2 sector=27 status=0
[2026-08-13 10:06:00] [INFO] disk request op=11 seq=10 drive=0 track=2 sector=28 status=0
[2026-08-13 10:06:00] [INFO] disk request op=11 seq=11 drive=0 track=2 sector=33 status=0
[2026-08-13 10:06:00] [INFO] disk request op=11 seq=12 drive=0 track=2 sector=34 status=0
[2026-08-13 10:06:00] [INFO] disk request op=11 seq=13 drive=0 track=2 sector=35 status=0
[2026-08-13 10:06:00] [INFO] disk request op=11 seq=14 drive=0 track=2 sector=36 status=0
[2026-08-13 10:06:00] [INFO] disk request op=11 seq=15 drive=0 track=2 sector=5 status=0
[2026-08-13 10:06:01] [INFO] disk request op=11 seq=16 drive=0 track=2 sector=6 status=0
[2026-08-13 10:06:01] [INFO] disk request op=11 seq=17 drive=0 track=2 sector=7 status=0
[2026-08-13 10:06:01] [INFO] disk request op=11 seq=18 drive=0 track=2 sector=8 status=0
[2026-08-13 10:06:01] [INFO] disk request op=11 seq=19 drive=0 track=2 sector=13 status=0
[2026-08-13 10:06:01] [INFO] disk request op=11 seq=1A drive=0 track=2 sector=14 status=0
[2026-08-13 10:06:01] [INFO] disk request op=11 seq=1B drive=0 track=2 sector=15 status=0
[2026-08-13 10:06:01] [INFO] disk request op=11 seq=1C drive=0 track=2 sector=16 status=0
[2026-08-13 10:06:01] [INFO] disk request op=11 seq=1D drive=0 track=2 sector=21 status=0
[2026-08-13 10:06:01] [INFO] disk request op=11 seq=1E drive=0 track=2 sector=22 status=0
[2026-08-13 10:06:01] [INFO] disk request op=11 seq=1F drive=0 track=2 sector=23 status=0
[2026-08-13 10:06:01] [INFO] disk request op=11 seq=20 drive=0 track=2 sector=24 status=0
[2026-08-13 10:06:01] [INFO] disk request op=11 seq=21 drive=0 track=2 sector=1 status=0
[2026-08-13 10:06:02] [INFO] disk request op=11 seq=22 drive=0 track=2 sector=29 status=0
[2026-08-13 10:06:02] [INFO] disk request op=11 seq=23 drive=0 track=2 sector=30 status=0
[2026-08-13 10:06:02] [INFO] disk request op=11 seq=24 drive=0 track=2 sector=31 status=0
[2026-08-13 10:06:02] [INFO] disk request op=11 seq=25 drive=0 track=2 sector=32 status=0
[2026-08-13 10:06:02] [INFO] disk request op=11 seq=26 drive=0 track=2 sector=37 status=0
[2026-08-13 10:06:02] [INFO] disk request op=11 seq=27 drive=0 track=2 sector=38 status=0
[2026-08-13 10:06:02] [INFO] disk request op=11 seq=28 drive=0 track=2 sector=1 status=0
[2026-08-13 10:06:02] [INFO] disk request op=11 seq=29 drive=0 track=2 sector=1 status=0
[2026-08-13 10:06:02] [INFO] disk request op=12 seq=2A drive=0 track=2 sector=1 status=0
[2026-08-13 10:06:02] [INFO] disk request op=12 seq=2B drive=0 track=3 sector=17 status=0
[2026-08-13 10:06:03] [INFO] disk request op=12 seq=2C drive=0 track=3 sector=18 status=0
[2026-08-13 10:06:03] [INFO] disk request op=12 seq=2D drive=0 track=3 sector=19 status=0
[2026-08-13 10:06:03] [INFO] disk request op=12 seq=2E drive=0 track=3 sector=20 status=0
[2026-08-13 10:06:03] [INFO] disk request op=12 seq=2F drive=0 track=3 sector=25 status=0
[2026-08-13 10:06:03] [INFO] disk request op=12 seq=30 drive=0 track=3 sector=26 status=0
[2026-08-13 10:06:03] [INFO] disk request op=12 seq=31 drive=0 track=3 sector=27 status=0
[2026-08-13 10:06:03] [INFO] disk request op=12 seq=32 drive=0 track=3 sector=28 status=0
[2026-08-13 10:06:03] [INFO] disk request op=12 seq=33 drive=0 track=3 sector=33 status=0
[2026-08-13 10:06:03] [INFO] disk request op=12 seq=34 drive=0 track=3 sector=34 status=0
[2026-08-13 10:06:03] [INFO] disk request op=12 seq=35 drive=0 track=3 sector=35 status=0
[2026-08-13 10:06:03] [INFO] disk request op=12 seq=36 drive=0 track=3 sector=36 status=0
[2026-08-13 10:06:04] [INFO] disk request op=12 seq=37 drive=0 track=3 sector=5 status=0
[2026-08-13 10:06:04] [INFO] disk request op=12 seq=38 drive=0 track=3 sector=6 status=0
[2026-08-13 10:06:04] [INFO] disk request op=12 seq=39 drive=0 track=3 sector=7 status=0
[2026-08-13 10:06:04] [INFO] disk request op=12 seq=3A drive=0 track=3 sector=8 status=0
[2026-08-13 10:06:04] [INFO] disk request op=12 seq=3B drive=0 track=3 sector=13 status=0
[2026-08-13 10:06:04] [INFO] disk request op=12 seq=3C drive=0 track=3 sector=14 status=0
[2026-08-13 10:06:04] [INFO] disk request op=12 seq=3D drive=0 track=3 sector=15 status=0
[2026-08-13 10:06:04] [INFO] disk request op=12 seq=3E drive=0 track=3 sector=16 status=0
[2026-08-13 10:06:04] [INFO] disk request op=12 seq=3F drive=0 track=3 sector=21 status=0
[2026-08-13 10:06:04] [INFO] disk request op=12 seq=40 drive=0 track=3 sector=22 status=0
[2026-08-13 10:06:04] [INFO] disk request op=12 seq=41 drive=0 track=3 sector=23 status=0
[2026-08-13 10:06:05] [INFO] disk request op=12 seq=42 drive=0 track=3 sector=24 status=0
[2026-08-13 10:06:05] [INFO] disk request op=12 seq=43 drive=0 track=3 sector=29 status=0
[2026-08-13 10:06:05] [INFO] disk request op=12 seq=44 drive=0 track=3 sector=30 status=0
[2026-08-13 10:06:05] [INFO] disk request op=12 seq=45 drive=0 track=3 sector=31 status=0
[2026-08-13 10:06:05] [INFO] disk request op=12 seq=46 drive=0 track=3 sector=32 status=0
[2026-08-13 10:06:05] [INFO] disk request op=12 seq=47 drive=0 track=3 sector=37 status=0
[2026-08-13 10:06:05] [INFO] disk request op=12 seq=48 drive=0 track=3 sector=38 status=0
[2026-08-13 10:06:05] [INFO] disk request op=12 seq=49 drive=0 track=3 sector=39 status=0
[2026-08-13 10:06:05] [INFO] disk request op=12 seq=4A drive=0 track=3 sector=40 status=0
[2026-08-13 10:06:05] [INFO] disk request op=12 seq=4B drive=0 track=4 sector=1 status=0
[2026-08-13 10:06:05] [INFO] disk request op=12 seq=4C drive=0 track=4 sector=2 status=0
[2026-08-13 10:06:06] [INFO] disk request op=12 seq=4D drive=0 track=4 sector=3 status=0
[2026-08-13 10:06:06] [INFO] disk request op=12 seq=4E drive=0 track=4 sector=4 status=0
[2026-08-13 10:06:06] [INFO] disk request op=12 seq=4F drive=0 track=4 sector=9 status=0
[2026-08-13 10:06:06] [INFO] disk request op=12 seq=50 drive=0 track=4 sector=10 status=0
[2026-08-13 10:06:06] [INFO] disk request op=12 seq=51 drive=0 track=4 sector=11 status=0
[2026-08-13 10:06:06] [INFO] disk request op=12 seq=52 drive=0 track=4 sector=12 status=0
[2026-08-13 10:06:06] [INFO] disk request op=12 seq=53 drive=0 track=4 sector=17 status=0
[2026-08-13 10:06:06] [INFO] disk request op=12 seq=54 drive=0 track=4 sector=18 status=0
[2026-08-13 10:06:06] [INFO] disk request op=12 seq=55 drive=0 track=4 sector=19 status=0
[2026-08-13 10:06:06] [INFO] disk request op=12 seq=56 drive=0 track=4 sector=20 status=0
[2026-08-13 10:06:06] [INFO] disk request op=12 seq=57 drive=0 track=4 sector=25 status=0
[2026-08-13 10:06:07] [INFO] disk request op=12 seq=58 drive=0 track=4 sector=26 status=0
[2026-08-13 10:06:07] [INFO] disk request op=12 seq=59 drive=0 track=4 sector=27 status=0
[2026-08-13 10:06:07] [INFO] disk request op=12 seq=5A drive=0 track=4 sector=28 status=0
[2026-08-13 10:06:07] [INFO] disk request op=12 seq=5B drive=0 track=4 sector=33 status=0
[2026-08-13 10:06:07] [INFO] disk request op=12 seq=5C drive=0 track=4 sector=34 status=0
[2026-08-13 10:06:07] [INFO] disk request op=12 seq=5D drive=0 track=4 sector=35 status=0
[2026-08-13 10:06:07] [INFO] disk request op=12 seq=5E drive=0 track=4 sector=36 status=0
[2026-08-13 10:06:07] [INFO] disk request op=12 seq=5F drive=0 track=4 sector=5 status=0
[2026-08-13 10:06:07] [INFO] disk request op=12 seq=60 drive=0 track=4 sector=6 status=0
[2026-08-13 10:06:07] [INFO] disk request op=12 seq=61 drive=0 track=4 sector=7 status=0
[2026-08-13 10:06:07] [INFO] disk request op=12 seq=62 drive=0 track=4 sector=8 status=0
[2026-08-13 10:06:08] [INFO] disk request op=12 seq=63 drive=0 track=4 sector=13 status=0
[2026-08-13 10:06:08] [INFO] disk request op=12 seq=64 drive=0 track=4 sector=14 status=0
[2026-08-13 10:06:08] [INFO] disk request op=12 seq=65 drive=0 track=4 sector=15 status=0
[2026-08-13 10:06:08] [INFO] disk request op=12 seq=66 drive=0 track=4 sector=16 status=0
[2026-08-13 10:06:08] [INFO] disk request op=12 seq=67 drive=0 track=4 sector=21 status=0
[2026-08-13 10:06:08] [INFO] disk request op=12 seq=68 drive=0 track=4 sector=22 status=0
[2026-08-13 10:06:08] [INFO] disk request op=12 seq=69 drive=0 track=4 sector=23 status=0
[2026-08-13 10:06:08] [INFO] disk request op=12 seq=6A drive=0 track=4 sector=24 status=0
[2026-08-13 10:06:08] [INFO] disk request op=11 seq=6B drive=0 track=2 sector=1 status=0
[2026-08-13 10:06:08] [INFO] disk request op=12 seq=6C drive=0 track=2 sector=1 status=0
[2026-08-13 10:06:08] [INFO] disk request op=11 seq=6D drive=0 track=2 sector=1 status=0
[2026-08-13 10:06:09] [INFO] disk request op=11 seq=6E drive=0 track=3 sector=17 status=0
[2026-08-13 10:06:09] [INFO] disk request op=11 seq=6F drive=0 track=3 sector=18 status=0
[2026-08-13 10:06:09] [INFO] disk request op=11 seq=70 drive=0 track=3 sector=19 status=0
[2026-08-13 10:06:09] [INFO] disk request op=11 seq=71 drive=0 track=3 sector=20 status=0
[2026-08-13 10:06:09] [INFO] disk request op=11 seq=72 drive=0 track=3 sector=25 status=0
[2026-08-13 10:06:09] [INFO] disk request op=11 seq=73 drive=0 track=3 sector=26 status=0
[2026-08-13 10:06:09] [INFO] disk request op=11 seq=74 drive=0 track=3 sector=27 status=0
[2026-08-13 10:06:09] [INFO] disk request op=11 seq=75 drive=0 track=3 sector=28 status=0
[2026-08-13 10:06:09] [INFO] disk request op=11 seq=76 drive=0 track=3 sector=33 status=0
[2026-08-13 10:06:09] [INFO] disk request op=11 seq=77 drive=0 track=3 sector=34 status=0
[2026-08-13 10:06:09] [INFO] disk request op=11 seq=78 drive=0 track=3 sector=35 status=0
[2026-08-13 10:06:10] [INFO] disk request op=11 seq=79 drive=0 track=3 sector=36 status=0
[2026-08-13 10:06:10] [INFO] disk request op=11 seq=7A drive=0 track=3 sector=5 status=0
[2026-08-13 10:06:10] [INFO] disk request op=11 seq=7B drive=0 track=3 sector=6 status=0
[2026-08-13 10:06:10] [INFO] disk request op=11 seq=7C drive=0 track=3 sector=7 status=0
[2026-08-13 10:06:10] [INFO] disk request op=11 seq=7D drive=0 track=3 sector=8 status=0
[2026-08-13 10:06:10] [INFO] disk request op=11 seq=7E drive=0 track=3 sector=13 status=0
[2026-08-13 10:06:10] [INFO] disk request op=11 seq=7F drive=0 track=3 sector=14 status=0
[2026-08-13 10:06:10] [INFO] disk request op=11 seq=80 drive=0 track=3 sector=15 status=0
[2026-08-13 10:06:10] [INFO] disk request op=11 seq=81 drive=0 track=3 sector=16 status=0
[2026-08-13 10:06:10] [INFO] disk request op=11 seq=82 drive=0 track=3 sector=21 status=0
[2026-08-13 10:06:10] [INFO] disk request op=11 seq=83 drive=0 track=3 sector=22 status=0
[2026-08-13 10:06:11] [INFO] disk request op=11 seq=84 drive=0 track=3 sector=23 status=0
[2026-08-13 10:06:11] [INFO] disk request op=11 seq=85 drive=0 track=3 sector=24 status=0
[2026-08-13 10:06:11] [INFO] disk request op=11 seq=86 drive=0 track=3 sector=29 status=0
[2026-08-13 10:06:11] [INFO] disk request op=11 seq=87 drive=0 track=3 sector=30 status=0
[2026-08-13 10:06:11] [INFO] disk request op=11 seq=88 drive=0 track=3 sector=31 status=0
[2026-08-13 10:06:11] [INFO] disk request op=11 seq=89 drive=0 track=3 sector=32 status=0
[2026-08-13 10:06:11] [INFO] disk request op=11 seq=8A drive=0 track=3 sector=37 status=0
[2026-08-13 10:06:11] [INFO] disk request op=11 seq=8B drive=0 track=3 sector=38 status=0
[2026-08-13 10:06:11] [INFO] disk request op=11 seq=8C drive=0 track=3 sector=39 status=0
[2026-08-13 10:06:11] [INFO] disk request op=11 seq=8D drive=0 track=3 sector=40 status=0
[2026-08-13 10:06:11] [INFO] disk request op=11 seq=8E drive=0 track=4 sector=1 status=0
[2026-08-13 10:06:12] [INFO] disk request op=11 seq=8F drive=0 track=4 sector=2 status=0
[2026-08-13 10:06:12] [INFO] disk request op=11 seq=90 drive=0 track=4 sector=3 status=0
[2026-08-13 10:06:12] [INFO] disk request op=11 seq=91 drive=0 track=4 sector=4 status=0
[2026-08-13 10:06:12] [INFO] disk request op=11 seq=92 drive=0 track=4 sector=9 status=0
[2026-08-13 10:06:12] [INFO] disk request op=11 seq=93 drive=0 track=4 sector=10 status=0
[2026-08-13 10:06:12] [INFO] disk request op=11 seq=94 drive=0 track=4 sector=11 status=0
[2026-08-13 10:06:12] [INFO] disk request op=11 seq=95 drive=0 track=4 sector=12 status=0
[2026-08-13 10:06:12] [INFO] disk request op=11 seq=96 drive=0 track=4 sector=17 status=0
[2026-08-13 10:06:12] [INFO] disk request op=11 seq=97 drive=0 track=4 sector=18 status=0
[2026-08-13 10:06:12] [INFO] disk request op=11 seq=98 drive=0 track=4 sector=19 status=0
[2026-08-13 10:06:12] [INFO] disk request op=11 seq=99 drive=0 track=4 sector=20 status=0
[2026-08-13 10:06:13] [INFO] disk request op=11 seq=9A drive=0 track=4 sector=25 status=0
[2026-08-13 10:06:13] [INFO] disk request op=11 seq=9B drive=0 track=4 sector=26 status=0
[2026-08-13 10:06:13] [INFO] disk request op=11 seq=9C drive=0 track=4 sector=27 status=0
[2026-08-13 10:06:13] [INFO] disk request op=11 seq=9D drive=0 track=4 sector=28 status=0
[2026-08-13 10:06:13] [INFO] disk request op=11 seq=9E drive=0 track=4 sector=33 status=0
[2026-08-13 10:06:13] [INFO] disk request op=11 seq=9F drive=0 track=4 sector=34 status=0
[2026-08-13 10:06:13] [INFO] disk request op=11 seq=A0 drive=0 track=4 sector=35 status=0
[2026-08-13 10:06:13] [INFO] disk request op=11 seq=A1 drive=0 track=4 sector=36 status=0
[2026-08-13 10:06:13] [INFO] disk request op=11 seq=A2 drive=0 track=4 sector=5 status=0
[2026-08-13 10:06:13] [INFO] disk request op=11 seq=A3 drive=0 track=4 sector=6 status=0
[2026-08-13 10:06:13] [INFO] disk request op=11 seq=A4 drive=0 track=4 sector=7 status=0
[2026-08-13 10:06:14] [INFO] disk request op=11 seq=A5 drive=0 track=4 sector=8 status=0
[2026-08-13 10:06:14] [INFO] disk request op=11 seq=A6 drive=0 track=4 sector=13 status=0
[2026-08-13 10:06:14] [INFO] disk request op=11 seq=A7 drive=0 track=4 sector=14 status=0
[2026-08-13 10:06:14] [INFO] disk request op=11 seq=A8 drive=0 track=4 sector=15 status=0
[2026-08-13 10:06:14] [INFO] disk request op=11 seq=A9 drive=0 track=4 sector=16 status=0
[2026-08-13 10:06:14] [INFO] disk request op=11 seq=AA drive=0 track=4 sector=21 status=0
[2026-08-13 10:06:14] [INFO] disk request op=11 seq=AB drive=0 track=4 sector=22 status=0
[2026-08-13 10:06:14] [INFO] disk request op=11 seq=AC drive=0 track=4 sector=23 status=0
[2026-08-13 10:06:14] [INFO] disk request op=11 seq=AD drive=0 track=4 sector=24 status=0
[2026-08-13 10:06:14] [INFO] disk request op=11 seq=AE drive=0 track=2 sector=1 status=0
[2026-08-13 10:06:15] [INFO] disk request op=12 seq=AF drive=0 track=2 sector=1 status=0
[2026-08-13 10:06:15] [INFO] disk session marker b'M2PASS!' received
[2026-08-13 10:06:15] [INFO] M2PASS! received: 8 KiB write/read/byte verification passed; the Juku should now play the smoke tune
