priority,ref,pin,type,role,reason
P1,D11,14,USART8251,RXRDY,functional endpoint lacks disposition
P1,D11,15,USART8251,TXRDY,functional endpoint lacks disposition
P1,D13,3,TL2,I3,functional endpoint lacks disposition
P1,D14,2,AP2,I2,functional endpoint lacks disposition
P1,D14,7,AP2,O7,functional endpoint lacks disposition
P1,D26,14,PPI8255,PC0,functional endpoint lacks disposition
P1,D26,15,PPI8255,PC1,functional endpoint lacks disposition
P1,D26,22,PPI8255,PB4,functional endpoint lacks disposition
P1,D26,38,PPI8255,PA6,functional endpoint lacks disposition
P1,D29,1,VABUS,AIN0,functional endpoint lacks disposition
P1,D29,2,VABUS,AIN1,functional endpoint lacks disposition
P1,D29,3,VABUS,AIN2,functional endpoint lacks disposition
P1,D29,6,VABUS,AIN5,functional endpoint lacks disposition
P0,D30,11,TM2_DFF,CLK2,PLAN physical-connectivity blocker
P0,D30,8,TM2_DFF,Q2_N,PLAN physical-connectivity blocker
P0,D39,10,LA3_GATE,B2,memory/decode source-risk blocker
P0,D39,2,LA3_GATE,B3,memory/decode source-risk blocker
P1,R94,2,R_AXIAL,P2,functional endpoint lacks disposition
P1,S1,3,SW,symbol-union boundary,functional endpoint lacks disposition
