endpoint_id,image,x_px,y_px,refdes,pin,candidate_net,confidence,review_state,reviewer,note
seed-component-D100-11,ref/photos/juku-pcb-2/PXL_20260710_200402344.jpg,2707.000,1378.667,D100,11,,local-package-fit,measurement,codex-photo-review,D100 notch-left fit identifies T/pin11 at the upper-right contact; the factory wire/tape bundle obscures its component-side continuation; local component package fit establishes pad identity only; no electrical path accepted
seed-solder-D100-11,ref/photos/juku-pcb-2/PXL_20260710_200506061.jpg,1135.000,1322.000,D100,11,,local-package-fit,measurement,,Validated affine D100 fit identifies the physical solder joint between D98 and D94; visible copper still lacks a second identified package pad; local solder package fit establishes pad identity only; no electrical path accepted
seed-component-D100-9,ref/photos/juku-pcb-2/PXL_20260710_200402344.jpg,2651.556,1545.000,D100,9,,local-package-fit,measurement,codex-photo-review,"D100 notch-left fit identifies OE_N/pin9; its component trace terminates at the isolated circular landing near (2625,1900). The package-derived cross-side projection near (1204,830) is bare solder substrate, proving that landing is not a through-board via; local component package fit establishes pad identity only; no electrical path accepted"
seed-solder-D100-9,ref/photos/juku-pcb-2/PXL_20260710_200506061.jpg,1181.667,1165.111,D100,9,,local-package-fit,measurement,,Validated affine D100 fit identifies the physical solder joint between D98 and D94; visible copper still lacks a second identified package pad; local solder package fit establishes pad identity only; no electrical path accepted
seed-component-D93-19,ref/photos/juku-pcb-2/PXL_20260710_202708344.jpg,940.789,1779.684,D93,19,,local-package-fit,measurement,codex-photo-review,"Corrected exposed-socket fit identifies physical КР1818ВГ93 MR_N/pin19. The solder trace reaches a through-hole near (1743,2320); composing the two package fits identifies its component-side hole near (950,1909), where the continuation returns beneath the socket body; local component package fit establishes pad identity only; no electrical path accepted"
seed-solder-D93-19,ref/photos/juku-pcb-2/PXL_20260710_200506061.jpg,1835.933,2328.433,D93,19,,local-package-fit,measurement,codex-photo-review,"Corrected two-column D93 orientation identifies MR_N/pin19 on the physical D94-side solder column; continuous local copper reaches the through-hole near (1743,2320), whose component continuation is socket-obscured; local solder package fit establishes pad identity only; no electrical path accepted"
seed-component-D93-24,ref/photos/juku-pcb-2/PXL_20260710_202708344.jpg,1073.368,2174.053,D93,24,,local-package-fit,measurement,codex-photo-review,Corrected exposed-socket fit identifies physical КР1818ВГ93 CLK/pin24; the apparent D99.13 solder alignment is rejected because direct component copper holds D99 section 1 clear; local component package fit establishes pad identity only; no electrical path accepted
seed-solder-D93-24,ref/photos/juku-pcb-2/PXL_20260710_200506061.jpg,1554.344,2232.422,D93,24,,local-package-fit,measurement,codex-photo-review,"Corrected D93.24 fit exposes westbound solder copper, but its apparent D99.13 alignment cannot be the live clock: independently proved copper to the adjacent КМ555ТМ2 ground pin holds section-1 CLR_N low; local solder package fit establishes pad identity only; no electrical path accepted"
seed-component-D46-1,ref/photos/juku-pcb-2/PXL_20260710_200439607.jpg,1929.868,1100.569,D46,1,,registration-only,measurement,,Package-side crop does not expose a unique copper destination; projected point lies among parallel traces
seed-solder-D46-1,ref/photos/juku-pcb-2/PXL_20260710_200534267.jpg,3201.546,827.621,D46,1,,registration-only,measurement,,Solder-side projection falls between nearby pads and traces; no unique endpoint is visible
seed-component-D46-15,ref/photos/juku-pcb-2/PXL_20260710_200439607.jpg,2096.000,1157.044,D46,15,,registration-only,measurement,,Package-side crop does not expose a unique copper destination; projected point lies among parallel traces
seed-solder-D46-15,ref/photos/juku-pcb-2/PXL_20260710_200534267.jpg,3019.373,887.794,D46,15,,registration-only,measurement,,Solder-side projection falls between nearby pads and traces; no unique endpoint is visible
seed-component-D54-13,ref/photos/juku-pcb-2/PXL_20260710_200455512.jpg,2949.646,1883.804,D54,13,,registration-only,measurement,,Package-side point is near the PIT pin fanout but the continuing copper is not uniquely visible
seed-solder-D54-13,ref/photos/juku-pcb-2/PXL_20260710_200530933.MP.jpg,827.337,1905.846,D54,13,,registration-only,measurement,,Solder-side projection is displaced into an unfeatured area and cannot identify a pad or trace
seed-component-D55-17,ref/photos/juku-pcb-2/PXL_20260710_200455512.jpg,2732.156,1395.915,D55,17,,registration-only,measurement,,Projected point overlaps a vertical copper rail near the package; its destination is ambiguous
seed-solder-D55-17,ref/photos/juku-pcb-2/PXL_20260710_200530933.MP.jpg,1062.457,1390.942,D55,17,,registration-only,measurement,,Projected point overlaps a horizontal copper rail without a unique pad or branch
seed-component-D57-11,ref/photos/juku-pcb-2/PXL_20260710_200455512.jpg,2903.403,1233.073,D57,11,,registration-only,measurement,,Package-side crop shows the local pin fanout but not a unique continuing destination
seed-solder-D57-11,ref/photos/juku-pcb-2/PXL_20260710_200530933.MP.jpg,887.236,1216.602,D57,11,,registration-only,measurement,,Solder-side projection lies on one of several horizontal traces without a unique branch
seed-component-D57-9,ref/photos/juku-pcb-2/PXL_20260710_200455512.jpg,2790.382,1232.410,D57,9,,registration-only,measurement,,Package-side crop shows the local pin fanout but not a unique continuing destination
seed-solder-D57-9,ref/photos/juku-pcb-2/PXL_20260710_200530933.MP.jpg,1004.739,1217.278,D57,9,,registration-only,measurement,,Solder-side projection lies on one of several horizontal traces without a unique branch
seed-component-D58-11,ref/photos/juku-pcb-2/PXL_20260710_200452717.MP.jpg,2797.377,1817.595,D58,11,,registration-only,measurement,,Component-side projection is among traces and vias but does not identify a unique connection
seed-solder-D58-11,ref/photos/juku-pcb-2/PXL_20260710_200530933.MP.jpg,3036.586,1826.009,D58,11,,registration-only,measurement,,Solder-side projection falls between parallel copper rails with no unique endpoint visible
seed-component-D2-1,ref/photos/juku-pcb-2/PXL_20260710_200411500.jpg,1932.000,1726.000,D2,1,A10,local-package-fit,accepted,codex-photo-review,Accepted with paired D2/D4 solder fits and continuous route to D4.1 / CPU A10
seed-solder-D2-1,ref/photos/juku-pcb-2/PXL_20260710_200527310.jpg,1800.000,1498.000,D2,1,A10,local-package-fit,accepted,codex-photo-review,Accepted continuous route to locally fitted D4.1 / CPU A10 landing
seed-component-D2-3,ref/photos/juku-pcb-2/PXL_20260710_200411500.jpg,1932.000,1851.714,D2,3,A14,local-package-fit,accepted,codex-photo-review,Accepted with paired D2/D4 solder fits and continuous route to D4.3 / CPU A14
seed-solder-D2-3,ref/photos/juku-pcb-2/PXL_20260710_200527310.jpg,1800.000,1613.429,D2,3,A14,local-package-fit,accepted,codex-photo-review,Accepted continuous route to locally fitted D4.3 / CPU A14 landing
seed-component-D2-5,ref/photos/juku-pcb-2/PXL_20260710_200411500.jpg,1932.000,1977.429,D2,5,A12,local-package-fit,accepted,codex-photo-review,Accepted with paired D2/D4 solder fits and continuous route to D4.5 / CPU A12
seed-solder-D2-5,ref/photos/juku-pcb-2/PXL_20260710_200527310.jpg,1800.000,1728.857,D2,5,A12,local-package-fit,accepted,codex-photo-review,Accepted continuous route to locally fitted D4.5 / CPU A12 landing
seed-component-D2-6,ref/photos/juku-pcb-2/PXL_20260710_200411500.jpg,1932.000,2040.286,D2,6,A15,local-package-fit,accepted,codex-photo-review,Accepted with paired D2/D4 solder fits and continuous route to D4.6 / CPU A15
seed-solder-D2-6,ref/photos/juku-pcb-2/PXL_20260710_200527310.jpg,1800.000,1786.571,D2,6,A15,local-package-fit,accepted,codex-photo-review,Accepted continuous route to locally fitted D4.6 / CPU A15 landing
seed-component-D2-7,ref/photos/juku-pcb-2/PXL_20260710_200411500.jpg,1932.000,2103.143,D2,7,A9,local-package-fit,accepted,codex-photo-review,Accepted with paired D2/D4 solder fits and continuous route to D4.7 / CPU A9
seed-solder-D2-7,ref/photos/juku-pcb-2/PXL_20260710_200527310.jpg,1800.000,1844.286,D2,7,A9,local-package-fit,accepted,codex-photo-review,Accepted continuous route to locally fitted D4.7 / CPU A9 landing
seed-component-D30-11,ref/photos/juku-pcb-2/PXL_20260710_200439607.jpg,974.713,1011.569,D30,11,,registration-only,measurement,,Component-side projection is above the package under crossing factory wires and does not expose the pin or a unique trace
seed-solder-D30-11,ref/photos/juku-pcb-2/PXL_20260710_200537608.jpg,2549.753,606.550,D30,11,,registration-only,measurement,,Solder-side projection lies on the broad rail between holes rather than a uniquely identifiable D30 pad or branch
seed-component-D30-8,ref/photos/juku-pcb-2/PXL_20260710_200439607.jpg,1139.645,1012.014,D30,8,,registration-only,measurement,,Component-side projection is above the package under crossing factory wires and does not expose the pin or a unique trace
seed-solder-D30-8,ref/photos/juku-pcb-2/PXL_20260710_200537608.jpg,2369.488,607.104,D30,8,,registration-only,measurement,,Solder-side projection lies on the broad rail between holes rather than a uniquely identifiable D30 pad or branch
seed-component-D36-2,ref/photos/juku-pcb-2/PXL_20260710_200445914.jpg,1615.764,1301.592,D36,2,,registration-only,measurement,,Component-side landing is obscured by factory wiring and adhesive; no package pin or unique path is visible
seed-solder-D36-2,ref/photos/juku-pcb-2/PXL_20260710_200530933.MP.jpg,2148.479,549.895,D36,2,,registration-only,measurement,,Solder projection falls at a broad-rail edge among several joints and cannot be assigned uniquely to D36.2
seed-component-D39-10,ref/photos/juku-pcb-2/PXL_20260710_200445914.jpg,2853.236,712.756,D39,10,,registration-only,measurement,,"Component projection reaches the package edge, but the pin fanout leaves the crop and has no unique destination"
seed-solder-D39-10,ref/photos/juku-pcb-2/PXL_20260710_200522685.jpg,925.495,2274.201,D39,10,,registration-only,measurement,,Solder projection falls between the visible pad columns rather than on an identifiable D39.10 landing
seed-component-D39-2,ref/photos/juku-pcb-2/PXL_20260710_200418174.jpg,2639.351,2386.069,D39,2,,registration-only,measurement,,Component-side package area is obscured/damaged and does not expose a uniquely traceable pin-2 path
