prom_address_hex,A7_WREQ_N,A6_A10,A5_XACK_N,A4_A14,A3_VIDEO_CYCLE,A2_A9,A1_A15,A0_A12,D0,status
0x00,0,0,0,0,0,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0x01,0,0,0,0,0,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0x02,0,0,0,0,0,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0x03,0,0,0,0,0,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0x04,0,0,0,0,0,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0x05,0,0,0,0,0,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0x06,0,0,0,0,0,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0x07,0,0,0,0,0,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0x08,0,0,0,0,1,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0x09,0,0,0,0,1,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0x0A,0,0,0,0,1,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0x0B,0,0,0,0,1,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0x0C,0,0,0,0,1,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0x0D,0,0,0,0,1,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0x0E,0,0,0,0,1,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0x0F,0,0,0,0,1,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0x10,0,0,0,1,0,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0x11,0,0,0,1,0,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0x12,0,0,0,1,0,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0x13,0,0,0,1,0,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0x14,0,0,0,1,0,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0x15,0,0,0,1,0,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0x16,0,0,0,1,0,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0x17,0,0,0,1,0,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0x18,0,0,0,1,1,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0x19,0,0,0,1,1,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0x1A,0,0,0,1,1,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0x1B,0,0,0,1,1,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0x1C,0,0,0,1,1,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0x1D,0,0,0,1,1,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0x1E,0,0,0,1,1,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0x1F,0,0,0,1,1,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0x20,0,0,1,0,0,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0x21,0,0,1,0,0,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0x22,0,0,1,0,0,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0x23,0,0,1,0,0,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0x24,0,0,1,0,0,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0x25,0,0,1,0,0,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0x26,0,0,1,0,0,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0x27,0,0,1,0,0,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0x28,0,0,1,0,1,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0x29,0,0,1,0,1,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0x2A,0,0,1,0,1,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0x2B,0,0,1,0,1,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0x2C,0,0,1,0,1,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0x2D,0,0,1,0,1,1,0,1,?,input vector proved; output truth requires .037 dump or capture
